"Gender","Ethnicity","EEO4 Description","EEOP Job Group Description","Department  ","EEO Function","Age","Employment Status"
"Male","Black/African American","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","40-49","Classified Permanent"
"Female","Asian","Paraprofessionals","Administrative Support","PARKS & RECREATION","Natural Resources","70 or older","Unclassified Extra Help"
"Female","Black/African American","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Black/African American","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","Asian","Professionals","Officials and Adminstrators","PROBATION DEPARTMENT","Corrections","40-49","Classified Permanent"
"Female","White","Professionals","Officials and Adminstrators","CONTROLLER - TREASURER","Financial Administration","60-69","Classified Permanent"
"Male","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","30-39","Classified Permanent"
"Male","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","30-39","Classified Permanent"
"Female","Asian","Professionals","Officials and Adminstrators","COUNTY EXECUTIVE","Financial Administration","40-49","Classified Permanent"
"Female","White","Professionals","Officials and Adminstrators","BEHAVIORAL HEALTH SERVICES","Health","30-39","Classified Probationary"
"Female","Asian","Professionals","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","50-59","Classified Permanent"
"Female","Not Specified","Professionals","Officials and Adminstrators","RISK MANAGEMENT","Financial Administration","70 or older","Classified Permanent"
"Male","Asian","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","30-39","Classified Permanent"
"Male","Two or More Races","Professionals","Officials and Adminstrators","PROCUREMENT DEPARTMENT","Financial Administration","30-39","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","PROBATION DEPARTMENT","Corrections","40-49","Classified Permanent"
"Female","White","Paraprofessionals","Administrative Support","DISTRICT ATTORNEY","Financial Administration","40-49","Classified Permanent"
"Male","Asian","Professionals","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","60-69","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Unclassified Benefits"
"Female","Asian","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Male","Asian","Protective Service Workers","Protective Services - Sworn","SHERIFF'S OFFICE","Police Protection","30-39","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","30-39","Classified Permanent"
"Female","Not Specified","Service Maintenance","Service Maintenance","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Two or More Races","Paraprofessionals","Administrative Support","BEHAVIORAL HEALTH SERVICES","Health","30-39","Classified Permanent"
"Male","White","Protective Service Workers","Protective Services - Sworn","PROBATION DEPARTMENT","Corrections","30-39","Classified Permanent"
"Female","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","PROBATION DEPARTMENT","Corrections","30-39","Classified Permanent"
"Male","Not Specified","Professionals","Officials and Adminstrators","DEPT OF ENVIRONMENTAL HEALTH","Natural Resources","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Female","Asian","Paraprofessionals","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","White","Officials and Administrators","Officials and Adminstrators","EMPLOYEE SERVICES AGENCY","Financial Administration","50-59","Executive Management"
"Male","Asian","Officials and Administrators","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","50-59","Classified Permanent"
"Female","White","Professionals","Professionals","PLANNING & DEVELOPMENT","Community Development","30-39","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Male","Not Specified","Technicians","Technicians","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","30-39","Classified Permanent"
"Male","Asian","Protective Service Workers","Protective Services - Sworn","PROBATION DEPARTMENT","Corrections","30-39","Classified Permanent"
"Male","Native Hawaiian/Oth Pac Island","Protective Service Workers","Protective Services - Sworn","SHERIFF'S OFFICE","Police Protection","40-49","Classified Permanent"
"Male","Asian","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","30-39","Classified Permanent"
"Female","Not Specified","Technicians","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Male","Asian","Professionals","Officials and Adminstrators","PROCUREMENT DEPARTMENT","Financial Administration","40-49","Classified Permanent"
"Male","Hispanic/Latino","Service Maintenance","Administrative Support","DISTRICT ATTORNEY","Financial Administration","40-49","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","Hispanic/Latino","Officials and Administrators","Officials and Adminstrators","SOCIAL SERVICES AGENCY","Public Welfare","70 or older","Executive Management"
"Male","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Unclassified Benefits"
"Female","White","Professionals","Professionals","CONTROLLER - TREASURER","Financial Administration","40-49","Classified Permanent"
"Male","Not Specified","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","40-49","Classified Permanent"
"Female","White","Administrative Support","Administrative Support","CUSTODY HEALTH SERVICES","Health","30-39","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Unclassified Extra Help"
"Female","White","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Male","White","Professionals","Officials and Adminstrators","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","50-59","Classified Permanent"
"Male","White","Protective Service Workers","Protective Services - Sworn","SHERIFF'S OFFICE","Police Protection","40-49","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","PUBLIC HEALTH DEPARTMENT","Health","30-39","Classified Permanent"
"Female","Black/African American","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Male","Not Specified","Professionals","Professionals","COUNTY COUNSEL","Financial Administration","40-49","Classified Permanent"
"Male","Asian","Professionals","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","40-49","Classified Permanent"
"Female","Not Specified","Administrative Support","Administrative Support","PROBATION DEPARTMENT","Corrections","30-39","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Administrative Support","REGISTRAR OF VOTERS","Other","30-39","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Probationary"
"Female","Asian","Professionals","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","60-69","Classified Permanent"
"Male","White","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","30-39","Classified Permanent"
"Male","Black/African American","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","40-49","Classified Permanent"
"Male","Black/African American","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","30-39","Classified Permanent"
"Male","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","30-39","Classified Permanent"
"Female","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","30-39","Classified Permanent"
"Male","Asian","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","30-39","Classified Permanent"
"Male","White","Protective Service Workers","Protective Services - Sworn","SHERIFF'S OFFICE","Police Protection","50-59","Classified Permanent"
"Male","Hispanic/Latino","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","40-49","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Male","Black/African American","Professionals","Professionals","DEPT OF ENVIRONMENTAL HEALTH","Natural Resources","50-59","Classified Permanent"
"Male","Hispanic/Latino","Service Maintenance","Skilled Craft","ROADS DEPARTMENT","Streets and Highways","30-39","Classified Permanent"
"Male","Black/African American","Service Maintenance","Service Maintenance","DISTRICT ATTORNEY","Financial Administration","40-49","Classified Permanent"
"Female","Not Specified","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","30-39","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","White","Professionals","Professionals","PUBLIC HEALTH DEPARTMENT","Health","40-49","Classified Permanent"
"Male","Asian","Professionals","Officials and Adminstrators","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Female","White","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Male","Asian","Professionals","Professionals","CUSTODY HEALTH SERVICES","Health","60-69","Unclassified Extra Help"
"Female","Hispanic/Latino","Technicians","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Male","Asian","Professionals","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","60-69","Classified Permanent"
"Female","Black/African American","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","40-49","Classified Permanent"
"Female","Not Specified","Officials and Administrators","Professionals","ASSESSOR","Financial Administration","50-59","Classified Permanent"
"Female","Asian","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Female","White","Professionals","Professionals","OFFICE OF SUPPORTIVE HOUSING","Housing","50-59","Classified Permanent"
"Male","Asian","Professionals","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Unclassified Extra Help"
"Female","Hispanic/Latino","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","30-39","Classified Permanent"
"Male","Hispanic/Latino","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","40-49","Classified Permanent"
"Female","Asian","Paraprofessionals","Administrative Support","COUNTY LIBRARY DISTRICT","Other","30-39","Classified Permanent"
"Female","Asian","Administrative Support","Administrative Support","COUNTY LIBRARY DISTRICT","Other","30-39","Classified Permanent"
"Female","Asian","Technicians","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Unclassified Extra Help"
"Male","Black/African American","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","40-49","Classified Permanent"
"Male","Asian","Protective Service Workers","Protective Services-Non Sworn","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Male","White","Paraprofessionals","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","30-39","Classified Permanent"
"Female","White","Professionals","Officials and Adminstrators","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Female","Asian","Professionals","Officials and Adminstrators","RISK MANAGEMENT","Financial Administration","40-49","Classified Permanent"
"Female","Two or More Races","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","30-39","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Unclassified Extra Help"
"Female","Asian","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","60-69","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","40-49","Classified Permanent"
"Female","Asian","Professionals","Officials and Adminstrators","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Asian","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Asian","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Unclassified Extra Help"
"Male","White","Protective Service Workers","Protective Services - Sworn","SHERIFF'S OFFICE","Police Protection","40-49","Classified Permanent"
"Female","Not Specified","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Male","Two or More Races","Protective Service Workers","Protective Services - Sworn","SHERIFF'S OFFICE","Police Protection","30-39","Classified Permanent"
"Male","White","Protective Service Workers","Protective Services - Sworn","SHERIFF'S OFFICE","Police Protection","30-39","Classified Permanent"
"Female","Not Specified","Professionals","Professionals","ROADS DEPARTMENT","Streets and Highways","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Female","Asian","Technicians","Service Maintenance","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Male","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","SHERIFF'S OFFICE","Police Protection","30-39","Classified Permanent"
"Female","Two or More Races","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","30-39","Classified Permanent"
"Female","Two or More Races","Technicians","Protective Services - Sworn","SHERIFF'S OFFICE","Police Protection","30-39","Classified Probationary"
"Male","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","SHERIFF'S OFFICE","Police Protection","30-39","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","DISTRICT ATTORNEY","Financial Administration","30-39","Classified Permanent"
"Male","Hispanic/Latino","Professionals","Skilled Craft","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Male","Asian","Administrative Support","Administrative Support","COUNTY LIBRARY DISTRICT","Other","60-69","Classified Permanent"
"Male","Hispanic/Latino","Technicians","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Not Specified","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Not Specified","Technicians","Service Maintenance","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Male","Asian","Technicians","Service Maintenance","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Not Specified","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Male","Asian","Technicians","Service Maintenance","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","Two or More Races","Professionals","Professionals","PUBLIC HEALTH DEPARTMENT","Health","30-39","Classified Permanent"
"Male","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Female","Asian","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Male","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Asian","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Male","Not Specified","Skilled Craft Workers","Skilled Craft","FACILITIES","Financial Administration","40-49","Classified Permanent"
"Male","White","Professionals","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","40-49","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","White","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","30-39","Classified Permanent"
"Male","Black/African American","Administrative Support","Administrative Support","PROBATION DEPARTMENT","Corrections","40-49","Classified Permanent"
"Male","Asian","Professionals","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","50-59","Classified Permanent"
"Female","Asian","Professionals","Officials and Adminstrators","VALLEY HEALTH PLAN","Health","50-59","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Officials and Adminstrators","COUNTY EXECUTIVE","Financial Administration","50-59","Classified Permanent"
"Female","Asian","Administrative Support","Administrative Support","BEHAVIORAL HEALTH SERVICES","Health","40-49","Classified Permanent"
"Male","Hispanic/Latino","Technicians","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","White","Administrative Support","Service Maintenance","SOCIAL SERVICES AGENCY","Public Welfare","60-69","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Not Specified","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Two or More Races","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Black/African American","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Unclassified Extra Help"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","PROBATION DEPARTMENT","Corrections","40-49","Classified Permanent"
"Female","Asian","Professionals","Officials and Adminstrators","VALLEY HEALTH PLAN","Health","30-39","Classified Permanent"
"Male","Not Specified","Professionals","Professionals","PLANNING & DEVELOPMENT","Community Development","60-69","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","BEHAVIORAL HEALTH SERVICES","Health","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","DISTRICT ATTORNEY","Financial Administration","60-69","Classified Permanent"
"Female","Not Specified","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Officials and Adminstrators","CONTROLLER - TREASURER","Financial Administration","40-49","Unclassified Extra Help"
"Male","Two or More Races","Professionals","Professionals","EMERGENCY MEDICAL SERVICES","Health","40-49","Classified Permanent"
"Female","Not Specified","Professionals","Professionals","COUNTY LIBRARY DISTRICT","Other","40-49","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Not Specified","Professionals","Professionals","COUNTY LIBRARY DISTRICT","Other","70 or older","Unclassified Extra Help"
"Male","White","Professionals","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","White","Technicians","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Male","Hispanic/Latino","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Male","White","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Probationary"
"Female","White","Paraprofessionals","Administrative Support","DISTRICT ATTORNEY","Financial Administration","60-69","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Asian","Technicians","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Male","Asian","Administrative Support","Administrative Support","BEHAVIORAL HEALTH SERVICES","Health","50-59","Classified Permanent"
"Female","White","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Female","Black/African American","Officials and Administrators","Officials and Adminstrators","CONTROLLER - TREASURER","Financial Administration","30-39","Executive Management"
"Female","Hispanic/Latino","Professionals","Officials and Adminstrators","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Male","White","Administrative Support","Administrative Support","DEPT OF ENVIRONMENTAL HEALTH","Natural Resources","30-39","Classified Permanent"
"Male","Not Specified","Service Maintenance","Service Maintenance","FACILITIES","Financial Administration","40-49","Classified Permanent"
"Male","Not Specified","Professionals","Professionals","COUNTY LIBRARY DISTRICT","Other","60-69","Classified Permanent"
"Female","Not Specified","Professionals","Professionals","COUNTY LIBRARY DISTRICT","Other","40-49","Classified Permanent"
"Female","Asian","Professionals","Professionals","BEHAVIORAL HEALTH SERVICES","Health","40-49","Classified Permanent"
"Female","Not Specified","Administrative Support","Administrative Support","BEHAVIORAL HEALTH SERVICES","Health","40-49","Classified Permanent"
"Male","Asian","Professionals","Officials and Adminstrators","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","30-39","Classified Permanent"
"Female","Not Specified","Paraprofessionals","Administrative Support","COUNTY LIBRARY DISTRICT","Other","40-49","Classified Permanent"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Unclassified Extra Help"
"Female","American Indian/Alaska Native","Paraprofessionals","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Probationary"
"Female","White","Professionals","Officials and Adminstrators","PUBLIC HEALTH DEPARTMENT","Health","60-69","Classified Permanent"
"Female","White","Professionals","Officials and Adminstrators","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Male","White","Administrative Support","Administrative Support","CUSTODY HEALTH SERVICES","Health","50-59","Classified Permanent"
"Male","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Male","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","SHERIFF'S OFFICE","Police Protection","60-69","Sheriff Reserve Officer"
"Male","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","SHERIFF'S OFFICE","Police Protection","60-69","Sheriff Reserve Officer"
"Male","Black/African American","Protective Service Workers","Protective Services - Sworn","SHERIFF'S OFFICE","Police Protection","40-49","Sheriff Reserve Officer"
"Male","White","Service Maintenance","Service Maintenance","PARKS & RECREATION","Natural Resources","40-49","Classified Probationary"
"Male","Black/African American","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Female","White","Administrative Support","Administrative Support","DISTRICT ATTORNEY","Financial Administration","40-49","Classified Permanent"
"Male","Asian","Professionals","Officials and Adminstrators","PROBATION DEPARTMENT","Corrections","40-49","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Female","Hispanic/Latino","Technicians","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Asian","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Female","Black/African American","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Asian","Professionals","Officials and Adminstrators","BEHAVIORAL HEALTH SERVICES","Health","50-59","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Unclassified Extra Help"
"Male","Asian","Professionals","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","70 or older","Classified Permanent"
"Female","Asian","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Asian","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Female","Asian","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Asian","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Female","Asian","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Asian","Professionals","Officials and Adminstrators","PUBLIC HEALTH DEPARTMENT","Health","30-39","Classified Permanent"
